2025-07-31T20:11:55.509735015Z 20:11:55 |  INFO | main: [FUNCIONALIDAD] Nueva llamada entrante (POST /twilio-voice)
2025-07-31T20:11:56.359496732Z 20:11:56 |  INFO | audio_manager: ✅ ElevenLabs TTS conectado
2025-07-31T20:11:56.359499952Z 20:11:56 |  INFO | call_orchestrator: ✅ AudioManager inicializado
2025-07-31T20:11:56.359502461Z 20:11:56 |  INFO | call_orchestrator: 🔗 Configurando IntegrationManager...
2025-07-31T20:11:56.359504992Z 20:11:56 |  INFO | integration_manager: [FUNCIONALIDAD] Configurando Deepgram STT...
2025-07-31T20:11:56.359507822Z 20:11:56 |  INFO | deepgram_stt_streamer: Deepgram ya estaba iniciado y conectado.
2025-07-31T20:11:56.359510242Z 20:11:56 |  INFO | integration_manager: ✅ Deepgram conectado y monitoreado
2025-07-31T20:11:56.359513042Z 20:11:56 |  INFO | integration_manager: [LATENCIA] Deepgram configurado en 0.1 ms
2025-07-31T20:11:56.359515542Z 20:11:56 |  INFO | call_orchestrator: ✅ IntegrationManager configurado
2025-07-31T20:11:56.359518442Z 20:11:56 |  INFO | call_orchestrator: ✅ Todos los componentes inicializados correctamente
2025-07-31T20:11:56.359521632Z 20:11:56 |  INFO | call_orchestrator: 🏥 Iniciando monitoreo de salud de llamada
2025-07-31T20:11:56.359525012Z 20:11:56 |  INFO | call_orchestrator: [DIAGNÓSTICO] Salud llamada - Duración: 0.8s, STT: True, TTS: True, Hablando: False
2025-07-31T20:11:56.859515412Z 20:11:56 |  INFO | call_orchestrator: 👋 Enviando saludo: 'Hola, gracias por comunicarte con I-A Factory Cancún. Mi nombre es Alex, ¿con quién tengo el gusto?. For English say 'English please''
2025-07-31T20:11:56.859561983Z 20:11:56 |  INFO | audio_manager: 🔊 Iniciando TTS: 'Hola, gracias por comunicarte con I-A Factory Canc...' (133 chars)
2025-07-31T20:11:56.859807168Z 20:11:56 |  INFO | audio_manager: [DIAGNÓSTICO] TTS WebSocket - Intentos: 0, Errores: 0, Conectado: False
2025-07-31T20:11:56.860165147Z 20:11:56 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-START] EL WS texto enviado: 133 chars (modo legacy)
2025-07-31T20:11:57.702627065Z 20:11:57 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-FIRST] EL primer audio chunk: 842.6 ms
2025-07-31T20:11:57.702643675Z 20:11:57 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Primer chunk recibido tras 1 intentos
2025-07-31T20:11:57.703119556Z 20:11:57 |  INFO | eleven_ws_tts_client: [LATENCIA] Primer chunk de audio recibido en 843.2 ms
2025-07-31T20:11:57.703133016Z 20:11:57 |  INFO | audio_manager: ✅ WebSocket TTS iniciado correctamente
2025-07-31T20:11:57.703194198Z 20:11:57 |  INFO | audio_manager: [LATENCIA] WebSocket TTS iniciado en 843.6 ms
2025-07-31T20:11:57.703225348Z 20:11:57 |  INFO | call_orchestrator: [LATENCIA] Saludo enviado y TTS completado en 843.7 ms
2025-07-31T20:11:57.703269719Z 20:11:57 |  INFO | twilio_handler: [LATENCIA] Evento 'start' procesado en 1694.7 ms
2025-07-31T20:12:00.026284607Z 20:12:00 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Cerrando WebSocket ElevenLabs...
2025-07-31T20:12:00.026324688Z 20:12:00 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs estuvo abierto durante 3749.1 ms
2025-07-31T20:12:00.026337318Z 20:12:00 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Chunks de audio procesados: 6
2025-07-31T20:12:00.026343298Z 20:12:00 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Errores totales: 0
2025-07-31T20:12:00.02640238Z 20:12:00 |  INFO | eleven_ws_tts_client: 🔒 ElevenLabs WebSocket cerrado
2025-07-31T20:12:01.313140539Z 20:12:01 | WARNING | audio_manager: 🚨 TTS stall #1 detectado! (3110.6ms sin chunks)
2025-07-31T20:12:01.31317825Z 20:12:01 | ERROR | audio_manager: 🚨 TTS stall persistente! Reactivando STT
2025-07-31T20:12:01.313213901Z 20:12:01 |  INFO | audio_manager: [FUNCIONALIDAD] TTS completado, reactivando STT...
2025-07-31T20:12:01.313226401Z 20:12:01 |  INFO | audio_manager: ✅ TTS completado
2025-07-31T20:12:01.313405725Z 20:12:01 |  INFO | audio_manager: 🟢 Reactivando STT
2025-07-31T20:12:01.313837835Z 20:12:01 |  INFO | call_orchestrator: ✅ Saludo completado, escuchando al usuario...
2025-07-31T20:12:05.297797384Z 20:12:05 |  INFO | twilio_handler: [LATENCIA] Evento 'mark' procesado en 0.0 ms
2025-07-31T20:12:10.029650773Z 20:12:10 |  INFO | conversation_flow: 📥 Final recibido: 'Hola, Alex. ¿Cómo estás? Habla Esteban.'
2025-07-31T20:12:11.030475242Z 20:12:11 |  INFO | conversation_flow: 🎯 [PERF] INICIO DE TURNO - Usuario dijo: 'Hola, Alex. ¿Cómo estás? Habla Esteban.'
2025-07-31T20:12:11.030527253Z 20:12:11 |  INFO | conversation_flow: [FUNCIONALIDAD] Preparando TTS (WS ElevenLabs) desde ConversationFlow...
2025-07-31T20:12:11.030713247Z 20:12:11 |  INFO | audio_manager: [FUNCIONALIDAD] Apagando STT y preparando TTS antes de LLM...
2025-07-31T20:12:11.030742578Z 20:12:11 |  INFO | audio_manager: [LATENCIA] Iniciando preparación de WebSocket ElevenLabs para TTS...
2025-07-31T20:12:11.030762788Z 20:12:11 |  INFO | audio_manager: 🔄 WebSocket de ElevenLabs no disponible, intentando abrir...
2025-07-31T20:12:11.030776149Z 20:12:11 |  INFO | audio_manager: 🔊 Iniciando ElevenLabs TTS...
2025-07-31T20:12:11.030971693Z 20:12:11 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Iniciando conexión WebSocket ElevenLabs...
2025-07-31T20:12:11.103592692Z 20:12:11 |  INFO | eleven_ws_tts_client: 🟢 ElevenLabs WebSocket conectado (reutilizable)
2025-07-31T20:12:11.103609192Z 20:12:11 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs abierto en 72.5 ms
2025-07-31T20:12:11.104067093Z 20:12:11 |  INFO | audio_manager: ✅ ElevenLabs TTS conectado
2025-07-31T20:12:11.104093544Z 20:12:11 |  INFO | audio_manager: [LATENCIA] WebSocket ElevenLabs abierto en 73.5 ms
2025-07-31T20:12:11.104162245Z 20:12:11 |  INFO | conversation_flow: [LATENCIA] Preparación de TTS (WS ElevenLabs) desde ConversationFlow completada en 73.8 ms
2025-07-31T20:12:11.104227017Z 20:12:11 |  INFO | conversation_flow: [LATENCIA] Preparación de TTS + lanzamiento de LLM en 74.0 ms
2025-07-31T20:12:11.104278548Z 20:12:11 |  INFO | conversation_flow: [HISTORIAL] Usuario: 'Hola, Alex. ¿Cómo estás? Habla Esteban.'
2025-07-31T20:12:11.10438806Z 20:12:11 |  INFO | weather_utils: Solicitando clima actual a OpenWeatherMap para Cancún (ID: 3530103)...
2025-07-31T20:12:11.130503404Z 20:12:11 |  INFO | aiagent: [PERF] Iniciando llamada a Groq (modelo: llama-3.3-70b-versatile)
2025-07-31T20:12:11.474748363Z 20:12:11 |  INFO | aiagent: [PERF] IA (Groq) - Time To First Token: 344.1 ms
2025-07-31T20:12:12.015797152Z 20:12:12 |  INFO | aiagent: [PERF] Parsing de respuesta del LLM en 0.2 ms
2025-07-31T20:12:12.015990386Z 20:12:12 |  INFO | aiagent: [HISTORIAL] Agregado 'assistant' con respuesta de texto: '¡Hola Esteban! Estoy muy bien, gracias. ¿Y tú? ¿En qué puedo ayudarte hoy? ¿Necesitas algo en particular o solo querías saludar?'
2025-07-31T20:12:12.016000456Z 20:12:12 |  INFO | conversation_flow: [HISTORIAL] Respuesta de IA recibida: '¡Hola Esteban! Estoy muy bien, gracias. ¿Y tú? ¿En qué puedo ayudarte hoy? ¿Necesitas algo en particular o solo querías saludar?'
2025-07-31T20:12:12.016004927Z 20:12:12 |  INFO | call_orchestrator: 🤖 IA responde: '¡Hola Esteban! Estoy muy bien, gracias. ¿Y tú? ¿En...'
2025-07-31T20:12:12.016064878Z 20:12:12 |  INFO | audio_manager: [LATENCIA] Iniciando preparación de WebSocket ElevenLabs para TTS...
2025-07-31T20:12:12.016283693Z 20:12:12 |  INFO | audio_manager: [LATENCIA] WebSocket ElevenLabs ya estaba abierto, preparación en 0.2 ms
2025-07-31T20:12:12.016328144Z 20:12:12 |  INFO | call_orchestrator: [DIAGNÓSTICO] Pre-TTS - Conectado: False, Errores: 0, Intentos: 0
2025-07-31T20:12:12.016412546Z 20:12:12 |  INFO | audio_manager: 🔊 Iniciando TTS: '¡Hola Esteban! Estoy muy bien, gracias. ¿Y tú? ¿En...' (128 chars)
2025-07-31T20:12:12.016562549Z 20:12:12 |  INFO | audio_manager: [DIAGNÓSTICO] TTS WebSocket - Intentos: 0, Errores: 0, Conectado: False
2025-07-31T20:12:12.016759954Z 20:12:12 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-START] EL WS texto enviado: 128 chars (modo legacy)
2025-07-31T20:12:12.815740075Z 20:12:12 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-FIRST] EL primer audio chunk: 792.9 ms
2025-07-31T20:12:12.815760396Z 20:12:12 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Primer chunk recibido tras 1 intentos
2025-07-31T20:12:12.815763946Z 20:12:12 |  INFO | eleven_ws_tts_client: [LATENCIA] Primer chunk de audio recibido en 794.3 ms
2025-07-31T20:12:12.815767536Z 20:12:12 |  INFO | audio_manager: ✅ WebSocket TTS iniciado correctamente
2025-07-31T20:12:12.815770246Z 20:12:12 |  INFO | audio_manager: [LATENCIA] WebSocket TTS iniciado en 794.6 ms
2025-07-31T20:12:12.815773076Z 20:12:12 |  INFO | conversation_flow: [LATENCIA] Turno completo (LLM + respuesta TTS) en 1706.8 ms
2025-07-31T20:12:12.815775546Z 20:12:12 |  INFO | conversation_flow: ⏱️ [PERF] FIN DE TURNO - Latencia total: 1781.0ms
2025-07-31T20:12:15.159280177Z 20:12:15 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Cerrando WebSocket ElevenLabs...
2025-07-31T20:12:15.159340768Z 20:12:15 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs estuvo abierto durante 4128.4 ms
2025-07-31T20:12:15.159364578Z 20:12:15 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Chunks de audio procesados: 6
2025-07-31T20:12:15.159375029Z 20:12:15 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Errores totales: 0
2025-07-31T20:12:15.15944434Z 20:12:15 |  INFO | eleven_ws_tts_client: 🔒 ElevenLabs WebSocket cerrado
2025-07-31T20:12:16.42071317Z 20:12:16 | WARNING | audio_manager: 🚨 TTS stall #1 detectado! (3097.0ms sin chunks)
2025-07-31T20:12:16.420757251Z 20:12:16 | ERROR | audio_manager: 🚨 TTS stall persistente! Reactivando STT
2025-07-31T20:12:16.420811672Z 20:12:16 |  INFO | audio_manager: [FUNCIONALIDAD] TTS completado, reactivando STT...
2025-07-31T20:12:16.420902554Z 20:12:16 |  INFO | audio_manager: ✅ TTS completado
2025-07-31T20:12:16.421114129Z 20:12:16 |  INFO | audio_manager: 🟢 Reactivando STT
2025-07-31T20:12:16.421359695Z 20:12:16 |  INFO | call_orchestrator: ✅ TTS completado, continuando conversación
2025-07-31T20:12:16.421403096Z 20:12:16 |  INFO | call_orchestrator: [DIAGNÓSTICO] Post-TTS - Estado: {'is_speaking': False, 'ignore_stt': False, 'tts_in_progress': False, 'last_audio_activity': 1388569.131749682}, STT listo: True, TTS listo: True
2025-07-31T20:12:19.478093214Z 20:12:19 |  INFO | twilio_handler: [LATENCIA] Evento 'mark' procesado en 0.0 ms
2025-07-31T20:12:26.363537009Z 20:12:26 |  INFO | call_orchestrator: [DIAGNÓSTICO] Salud llamada - Duración: 30.8s, STT: True, TTS: True, Hablando: False
2025-07-31T20:12:29.093317339Z 20:12:29 |  INFO | conversation_flow: 📥 Final recibido: 'No, me gustaría saber un poco más sobre los agentes de inteligencia artificial.'
2025-07-31T20:12:30.094220118Z 20:12:30 |  INFO | conversation_flow: 🎯 [PERF] INICIO DE TURNO - Usuario dijo: 'No, me gustaría saber un poco más sobre los agentes de inteligencia artificial.'
2025-07-31T20:12:30.094255549Z 20:12:30 |  INFO | conversation_flow: [FUNCIONALIDAD] Preparando TTS (WS ElevenLabs) desde ConversationFlow...
2025-07-31T20:12:30.094271849Z 20:12:30 |  INFO | audio_manager: [FUNCIONALIDAD] Apagando STT y preparando TTS antes de LLM...
2025-07-31T20:12:30.09427832Z 20:12:30 |  INFO | audio_manager: [LATENCIA] Iniciando preparación de WebSocket ElevenLabs para TTS...
2025-07-31T20:12:30.09428876Z 20:12:30 |  INFO | audio_manager: 🔄 WebSocket de ElevenLabs no disponible, intentando abrir...
2025-07-31T20:12:30.094390552Z 20:12:30 |  INFO | audio_manager: 🔊 Iniciando ElevenLabs TTS...
2025-07-31T20:12:30.094459064Z 20:12:30 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Iniciando conexión WebSocket ElevenLabs...
2025-07-31T20:12:30.161621897Z 20:12:30 |  INFO | eleven_ws_tts_client: 🟢 ElevenLabs WebSocket conectado (reutilizable)
2025-07-31T20:12:30.161648237Z 20:12:30 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs abierto en 67.1 ms
2025-07-31T20:12:30.161956334Z 20:12:30 |  INFO | audio_manager: ✅ ElevenLabs TTS conectado
2025-07-31T20:12:30.161967894Z 20:12:30 |  INFO | audio_manager: [LATENCIA] WebSocket ElevenLabs abierto en 67.7 ms
2025-07-31T20:12:30.161981895Z 20:12:30 |  INFO | conversation_flow: [LATENCIA] Preparación de TTS (WS ElevenLabs) desde ConversationFlow completada en 67.8 ms
2025-07-31T20:12:30.162105948Z 20:12:30 |  INFO | conversation_flow: [LATENCIA] Preparación de TTS + lanzamiento de LLM en 68.0 ms
2025-07-31T20:12:30.162132718Z 20:12:30 |  INFO | conversation_flow: [HISTORIAL] Usuario: 'No, me gustaría saber un poco más sobre los agentes de inteligencia artificial.'
2025-07-31T20:12:30.16222302Z 20:12:30 |  INFO | weather_utils: Solicitando clima actual a OpenWeatherMap para Cancún (ID: 3530103)...
2025-07-31T20:12:30.182868648Z 20:12:30 |  INFO | aiagent: [PERF] Iniciando llamada a Groq (modelo: llama-3.3-70b-versatile)
2025-07-31T20:12:30.288801887Z 20:12:30 |  INFO | aiagent: [PERF] IA (Groq) - Time To First Token: 105.8 ms
2025-07-31T20:12:31.136133326Z 20:12:31 |  INFO | aiagent: [PERF] Parsing de respuesta del LLM en 0.0 ms
2025-07-31T20:12:31.136164417Z 20:12:31 |  INFO | aiagent: [HISTORIAL] Agregado 'assistant' con respuesta de texto: '¡Genial! Los agentes de inteligencia artificial son como empleados digitales superinteligentes que pueden encargarse de tareas específicas, como hablar con clientes, gestionar agendas o analizar datos, pero lo hacen las 24 horas del día, los 7 días de la semana, sin cansarse. 
2025-07-31T20:12:31.136184788Z 
2025-07-31T20:12:31.136188818Z ¿Tienes alguna tarea en mente que te gustaría automatizar o mejorar en tu empresa? ¿O te gustaría que te explique un poco más sobre cómo funcionan y cómo podrían ayudarte?'
2025-07-31T20:12:31.136216798Z 20:12:31 |  INFO | conversation_flow: [HISTORIAL] Respuesta de IA recibida: '¡Genial! Los agentes de inteligencia artificial son como empleados digitales superinteligentes que pueden encargarse de tareas específicas, como hablar con clientes, gestionar agendas o analizar datos, pero lo hacen las 24 horas del día, los 7 días de la semana, sin cansarse. 
2025-07-31T20:12:31.136222228Z 
2025-07-31T20:12:31.136224778Z ¿Tienes alguna tarea en mente que te gustaría automatizar o mejorar en tu empresa? ¿O te gustaría que te explique un poco más sobre cómo funcionan y cómo podrían ayudarte?'
2025-07-31T20:12:31.136229958Z 20:12:31 |  INFO | call_orchestrator: 🤖 IA responde: '¡Genial! Los agentes de inteligencia artificial so...'
2025-07-31T20:12:31.136244609Z 20:12:31 |  INFO | audio_manager: [LATENCIA] Iniciando preparación de WebSocket ElevenLabs para TTS...
2025-07-31T20:12:31.136433913Z 20:12:31 |  INFO | audio_manager: [LATENCIA] WebSocket ElevenLabs ya estaba abierto, preparación en 0.2 ms
2025-07-31T20:12:31.136465394Z 20:12:31 |  INFO | call_orchestrator: [DIAGNÓSTICO] Pre-TTS - Conectado: False, Errores: 0, Intentos: 0
2025-07-31T20:12:31.136584097Z 20:12:31 |  INFO | audio_manager: 🔊 Iniciando TTS: '¡Genial! Los agentes de inteligencia artificial so...' (450 chars)
2025-07-31T20:12:31.13672374Z 20:12:31 |  INFO | audio_manager: [DIAGNÓSTICO] TTS WebSocket - Intentos: 0, Errores: 0, Conectado: False
2025-07-31T20:12:31.136941235Z 20:12:31 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-START] EL WS texto enviado: 450 chars (modo legacy)
2025-07-31T20:12:31.899633168Z 20:12:31 |  INFO | eleven_ws_tts_client: ⏱️ [LATENCIA-4-FIRST] EL primer audio chunk: 762.7 ms
2025-07-31T20:12:31.899646308Z 20:12:31 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Primer chunk recibido tras 1 intentos
2025-07-31T20:12:31.900110099Z 20:12:31 |  INFO | eleven_ws_tts_client: [LATENCIA] Primer chunk de audio recibido en 763.3 ms
2025-07-31T20:12:31.900123479Z 20:12:31 |  INFO | audio_manager: ✅ WebSocket TTS iniciado correctamente
2025-07-31T20:12:31.90015087Z 20:12:31 |  INFO | audio_manager: [LATENCIA] WebSocket TTS iniciado en 763.6 ms
2025-07-31T20:12:31.900221522Z 20:12:31 |  INFO | conversation_flow: [LATENCIA] Turno completo (LLM + respuesta TTS) en 1738.1 ms
2025-07-31T20:12:31.900228422Z 20:12:31 |  INFO | conversation_flow: ⏱️ [PERF] FIN DE TURNO - Latencia total: 1806.2ms
2025-07-31T20:12:36.482632152Z 20:12:36 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Cerrando WebSocket ElevenLabs...
2025-07-31T20:12:36.482661242Z 20:12:36 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs estuvo abierto durante 6388.1 ms
2025-07-31T20:12:36.482670593Z 20:12:36 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Chunks de audio procesados: 15
2025-07-31T20:12:36.482712434Z 20:12:36 |  INFO | eleven_ws_tts_client: [DIAGNÓSTICO] Errores totales: 0
2025-07-31T20:12:36.482790665Z 20:12:36 |  INFO | eleven_ws_tts_client: 🔒 ElevenLabs WebSocket cerrado
2025-07-31T20:12:37.91557818Z 20:12:37 | WARNING | audio_manager: 🚨 TTS stall #1 detectado! (3265.5ms sin chunks)
2025-07-31T20:12:37.915619381Z 20:12:37 | ERROR | audio_manager: 🚨 TTS stall persistente! Reactivando STT
2025-07-31T20:12:37.915677892Z 20:12:37 |  INFO | audio_manager: [FUNCIONALIDAD] TTS completado, reactivando STT...
2025-07-31T20:12:37.915771364Z 20:12:37 |  INFO | audio_manager: ✅ TTS completado
2025-07-31T20:12:37.915879827Z 20:12:37 |  INFO | audio_manager: 🟢 Reactivando STT
2025-07-31T20:12:37.916291266Z 20:12:37 |  INFO | call_orchestrator: ✅ TTS completado, continuando conversación
2025-07-31T20:12:37.916434899Z 20:12:37 |  INFO | call_orchestrator: [DIAGNÓSTICO] Post-TTS - Estado: {'is_speaking': False, 'ignore_stt': False, 'tts_in_progress': False, 'last_audio_activity': 1388588.191709181}, STT listo: True, TTS listo: True
2025-07-31T20:12:50.637724386Z 20:12:50 |  INFO | conversation_flow: 📥 Final recibido: 'Que solamente.'
2025-07-31T20:12:51.638875041Z 20:12:51 |  INFO | conversation_flow: 🎯 [PERF] INICIO DE TURNO - Usuario dijo: 'Que solamente.'
2025-07-31T20:12:51.638924462Z 20:12:51 |  INFO | conversation_flow: [FUNCIONALIDAD] Preparando TTS (WS ElevenLabs) desde ConversationFlow...
2025-07-31T20:12:51.639056466Z 20:12:51 |  INFO | audio_manager: [FUNCIONALIDAD] Apagando STT y preparando TTS antes de LLM...
2025-07-31T20:12:51.639120577Z 20:12:51 |  INFO | audio_manager: [LATENCIA] Iniciando preparación de WebSocket ElevenLabs para TTS...
2025-07-31T20:12:51.63924229Z 20:12:51 |  INFO | audio_manager: 🔄 WebSocket de ElevenLabs no disponible, intentando abrir...
2025-07-31T20:12:51.639792552Z 20:12:51 |  INFO | audio_manager: 🔊 Iniciando ElevenLabs TTS...
2025-07-31T20:12:51.639804433Z 20:12:51 |  INFO | eleven_ws_tts_client: [FUNCIONALIDAD] Iniciando conexión WebSocket ElevenLabs...
2025-07-31T20:12:51.715740548Z 20:12:51 |  INFO | eleven_ws_tts_client: 🟢 ElevenLabs WebSocket conectado (reutilizable)
2025-07-31T20:12:51.715762549Z 20:12:51 |  INFO | eleven_ws_tts_client: [LATENCIA] WebSocket ElevenLabs abierto en 76.2 ms
2025-07-31T20:12:51.716109317Z 20:12:51 |  INFO | audio_manager: ✅ ElevenLabs TTS conectado
2025-07-31T20:12:51.716137708Z 20:12:51 |  INFO | audio_manager: [LATENCIA] WebSocket ElevenLabs abierto en 77.0 ms
2025-07-31T20:12:51.716145868Z 20:12:51 |  INFO | conversation_flow: [LATENCIA] Preparación de TTS (WS ElevenLabs) desde ConversationFlow completada en 77.2 ms
2025-07-31T20:12:51.716155828Z 20:12:51 |  INFO | conversation_flow: [LATENCIA] Preparación de TTS + lanzamiento de LLM en 77.4 ms
2025-07-31T20:12:51.716216939Z 20:12:51 |  INFO | conversation_flow: [HISTORIAL] Usuario: 'Que solamente.'
2025-07-31T20:12:51.716300201Z 20:12:51 |  INFO | weather_utils: Solicitando clima actual a OpenWeatherMap para Cancún (ID: 3530103)...
2025-07-31T20:12:51.738384982Z 20:12:51 |  INFO | aiagent: [PERF] Iniciando llamada a Groq (modelo: llama-3.3-70b-versatile)
2025-07-31T20:12:51.850211447Z 20:12:51 |  INFO | aiagent: [PERF] IA (Groq) - Time To First Token: 111.7 ms
2025-07-31T20:12:52.833628722Z 20:12:52 |  INFO | aiagent: [PERF] Parsing de respuesta del LLM en 0.0 ms
2025-07-31T20:12:52.833755335Z 20:12:52 |  INFO | aiagent: [HISTORIAL] Agregado 'assistant' con respuesta de texto: 'Los agentes de IA pueden hacer desde gestionar llamadas y chats, hasta ayudar con tareas de marketing, ventas, y atención al cliente. También pueden ayudar con la automatización de tareas repetitivas, como la gestión de citas, el seguimiento de leads, y la actualización de bases de datos.
2025-07-31T20:12:52.833766945Z 
